Bear,Date,Time,Latitude,Longitude
1,12.04.2014,11:30:01,71.1370877,-148.9039511
1,12.04.2014,12:00:08,71.1369285,-148.9008832
1,12.04.2014,12:30:29,71.1364459,-148.9009435
1,12.04.2014,13:00:16,71.1365404,-148.9009951
1,12.04.2014,13:30:01,71.1359071,-148.8939497
1,12.04.2014,14:00:08,71.1359551,-148.894049
1,12.04.2014,14:30:11,71.1359713,-148.8942437
1,12.04.2014,15:00:19,71.1360005,-148.894348
1,12.04.2014,15:30:09,71.1360048,-148.8944097
1,12.04.2014,16:00:09,71.1361396,-148.8956058
1,12.04.2014,16:30:02,71.1361312,-148.895881
1,12.04.2014,17:00:08,71.1363204,-148.8963742
1,12.04.2014,17:30:30,71.1365418,-148.8970093
1,12.04.2014,18:00:17,71.1368375,-148.8978101
1,12.04.2014,18:30:09,71.1372555,-148.898743
1,12.04.2014,19:00:09,71.1377752,-148.8996278
1,12.04.2014,19:30:08,71.1383779,-148.9005928
1,12.04.2014,20:00:19,71.1390459,-148.9014957
1,12.04.2014,20:30:10,71.1397954,-148.902474
1,12.04.2014,21:00:01,71.1406917,-148.9034467
1,12.04.2014,21:30:09,71.1418177,-148.9064947
1,12.04.2014,22:00:01,71.1430529,-148.905536
1,12.04.2014,22:30:30,71.1440971,-148.9061946
1,12.04.2014,23:00:16,71.1451602,-148.9065439
1,12.04.2014,23:30:02,71.1462026,-148.9066941
1,13.04.2014,0:00:09,71.1471435,-148.9066924
1,13.04.2014,0:30:08,71.1479867,-148.9065916
1,13.04.2014,1:00:02,71.1487239,-148.9065439
1,13.04.2014,1:30:30,71.1494039,-148.9062449
1,13.04.2014,2:00:16,71.1488201,-148.9050365
1,13.04.2014,2:30:01,71.1501423,-148.9057454
1,13.04.2014,3:00:08,71.1506001,-148.9076154
1,13.04.2014,3:30:09,71.1512691,-148.9100976
1,13.04.2014,4:00:27,71.1519998,-148.9112339
1,13.04.2014,4:30:08,71.1520304,-148.9114668
1,13.04.2014,5:00:08,71.1519433,-148.9118002
1,13.04.2014,5:30:18,71.1520824,-148.9131828
1,13.04.2014,6:00:01,71.1518702,-148.915433
1,13.04.2014,6:30:26,71.1517245,-148.9195702
1,13.04.2014,7:00:08,71.151481,-148.9207698
1,13.04.2014,7:30:08,71.1520492,-148.9250407
1,13.04.2014,8:00:08,71.1519336,-148.9263251
1,13.04.2014,8:30:09,71.1518892,-148.9276043
1,13.04.2014,9:00:08,71.1518682,-148.9287977
1,13.04.2014,9:30:37,71.1519328,-148.9299956
1,13.04.2014,10:00:32,71.1520119,-148.9311838
1,13.04.2014,10:30:08,71.1521652,-148.9322432
1,13.04.2014,11:00:02,71.1523257,-148.9332503
1,13.04.2014,11:30:01,71.1520956,-148.9326049
1,13.04.2014,12:00:20,71.1519469,-148.9318069
1,13.04.2014,12:30:09,71.1522006,-148.9330798
1,13.04.2014,13:00:08,71.1523392,-148.9340157
1,13.04.2014,13:30:01,71.1525838,-148.9346706
1,13.04.2014,14:00:16,71.15315,-148.9384048
1,13.04.2014,14:30:03,71.1528123,-148.9377124
1,13.04.2014,15:00:19,71.1528096,-148.9383782
1,13.04.2014,15:30:17,71.1525065,-148.9369152
1,13.04.2014,16:00:13,71.1522681,-148.9368688
1,13.04.2014,16:30:10,71.1521783,-148.9375349
1,13.04.2014,17:00:08,71.1521555,-148.9384859
1,13.04.2014,17:30:30,71.1519434,-148.9390006
1,13.04.2014,18:00:17,71.1518145,-148.9398617
1,13.04.2014,18:30:08,71.1517496,-148.9407701
1,13.04.2014,19:00:30,71.1517166,-148.9417354
1,13.04.2014,19:30:16,71.1517069,-148.9426815
1,13.04.2014,20:00:08,71.151773,-148.943808
1,13.04.2014,20:30:01,71.1518519,-148.9449012
1,13.04.2014,21:00:01,71.1519732,-148.9460655
1,13.04.2014,21:30:12,71.1519083,-148.9472021
